source,target,link_type,anchor_context
# Nav and footer links omitted — every page shares nav links (/ /services/ /service-areas/ /who-we-work-with/ /about/ /blog/ /contact-us/ + dropdowns) and footer links (/ /about/ /services/ /contact-us/ /free-estimates/ /reviews/). See navigation section of dev-handoff.json.,,,
/,/services/ev-charger-installation/,hub-card,Service card: EV Charger Installation
/,/services/electrical-panel-upgrades/,hub-card,Service card: Electrical Panel Upgrades
/,/services/service-calls-troubleshooting/,hub-card,Service card: Service Calls & Troubleshooting
/,/services/recessed-lighting-installation/,hub-card,Service card: Recessed Lighting Installation
/,/services/light-fixture-installation/,hub-card,Service card: Light Fixture Installation
/,/services/ceiling-fan-installation/,hub-card,Service card: Ceiling Fan Installation
/,/services/spa-jacuzzi-sauna-electrical/,hub-card,Service card: Spa/Jacuzzi/Sauna Electrical
/,/services/outlet-switch-dimmer-gfci-repairs/,hub-card,Service card: Outlet Switch Dimmer & GFCI Repairs
/,/carlsbad/,hub-card,City card: Carlsbad
/,/encinitas/,hub-card,City card: Encinitas
/,/rancho-santa-fe/,hub-card,City card: Rancho Santa Fe
/,/san-marcos/,hub-card,City card: San Marcos
/,/del-mar/,hub-card,City card: Del Mar
/,/solana-beach/,hub-card,City card: Solana Beach
/,/oceanside/,hub-card,City card: Oceanside
/,/who-we-work-with/,inline,Who We Work With section link
/,/free-estimates/,cta,Hero and bottom CTA: Get a Free Estimate
/services/,/,breadcrumb,Breadcrumb: Home
/services/,/services/ev-charger-installation/,hub-card,Service card: EV Charger Installation
/services/,/services/electrical-panel-upgrades/,hub-card,Service card: Electrical Panel Upgrades
/services/,/services/service-calls-troubleshooting/,hub-card,Service card: Service Calls & Troubleshooting
/services/,/services/recessed-lighting-installation/,hub-card,Service card: Recessed Lighting Installation
/services/,/services/light-fixture-installation/,hub-card,Service card: Light Fixture Installation
/services/,/services/ceiling-fan-installation/,hub-card,Service card: Ceiling Fan Installation
/services/,/services/spa-jacuzzi-sauna-electrical/,hub-card,Service card: Spa/Jacuzzi/Sauna Electrical
/services/,/services/outlet-switch-dimmer-gfci-repairs/,hub-card,Service card: Outlet Switch Dimmer & GFCI Repairs
/services/,/free-estimates/,cta,CTA: Get a Free Estimate
/service-areas/,/,breadcrumb,Breadcrumb: Home
/service-areas/,/carlsbad/,hub-card,City card: Carlsbad
/service-areas/,/encinitas/,hub-card,City card: Encinitas
/service-areas/,/rancho-santa-fe/,hub-card,City card: Rancho Santa Fe
/service-areas/,/san-marcos/,hub-card,City card: San Marcos
/service-areas/,/del-mar/,hub-card,City card: Del Mar
/service-areas/,/solana-beach/,hub-card,City card: Solana Beach
/service-areas/,/oceanside/,hub-card,City card: Oceanside
/service-areas/,/free-estimates/,cta,CTA: Get a Free Estimate
/services/ev-charger-installation/,/,breadcrumb,Breadcrumb: Home
/services/ev-charger-installation/,/services/,breadcrumb,Breadcrumb: Services
/services/ev-charger-installation/,/carlsbad/ev-charger-installation/,inline,EV Charger Installation in Carlsbad — city service link
/services/ev-charger-installation/,/encinitas/ev-charger-installation/,inline,EV Charger Installation in Encinitas — city service link
/services/ev-charger-installation/,/rancho-santa-fe/ev-charger-installation/,inline,EV Charger Installation in Rancho Santa Fe — city service link
/services/ev-charger-installation/,/san-marcos/ev-charger-installation/,inline,EV Charger Installation in San Marcos — city service link
/services/ev-charger-installation/,/del-mar/ev-charger-installation/,inline,EV Charger Installation in Del Mar — city service link
/services/ev-charger-installation/,/solana-beach/ev-charger-installation/,inline,EV Charger Installation in Solana Beach — city service link
/services/ev-charger-installation/,/oceanside/ev-charger-installation/,inline,EV Charger Installation in Oceanside — city service link
/services/ev-charger-installation/,/services/electrical-panel-upgrades/,related,Related service: Electrical Panel Upgrades
/services/ev-charger-installation/,/services/outlet-switch-dimmer-gfci-repairs/,related,Related service: Outlet Switch Dimmer & GFCI Repairs
/services/ev-charger-installation/,/free-estimates/,cta,CTA: Get a Free Estimate
/services/electrical-panel-upgrades/,/,breadcrumb,Breadcrumb: Home
/services/electrical-panel-upgrades/,/services/,breadcrumb,Breadcrumb: Services
/services/electrical-panel-upgrades/,/carlsbad/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Carlsbad — city service link
/services/electrical-panel-upgrades/,/encinitas/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Encinitas — city service link
/services/electrical-panel-upgrades/,/rancho-santa-fe/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Rancho Santa Fe — city service link
/services/electrical-panel-upgrades/,/san-marcos/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in San Marcos — city service link
/services/electrical-panel-upgrades/,/del-mar/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Del Mar — city service link
/services/electrical-panel-upgrades/,/solana-beach/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Solana Beach — city service link
/services/electrical-panel-upgrades/,/oceanside/electrical-panel-upgrades/,inline,Electrical Panel Upgrades in Oceanside — city service link
/services/electrical-panel-upgrades/,/services/service-calls-troubleshooting/,related,Related service: Service Calls & Troubleshooting
/services/electrical-panel-upgrades/,/services/ev-charger-installation/,related,Related service: EV Charger Installation
/services/electrical-panel-upgrades/,/free-estimates/,cta,CTA: Get a Free Estimate
/services/service-calls-troubleshooting/,/,breadcrumb,Breadcrumb: Home
/services/service-calls-troubleshooting/,/services/,breadcrumb,Breadcrumb: Services
/services/service-calls-troubleshooting/,/carlsbad/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Carlsbad — city service link
/services/service-calls-troubleshooting/,/encinitas/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Encinitas — city service link
/services/service-calls-troubleshooting/,/rancho-santa-fe/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Rancho Santa Fe — city service link
/services/service-calls-troubleshooting/,/san-marcos/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in San Marcos — city service link
/services/service-calls-troubleshooting/,/del-mar/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Del Mar — city service link
/services/service-calls-troubleshooting/,/solana-beach/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Solana Beach — city service link
/services/service-calls-troubleshooting/,/oceanside/service-calls-troubleshooting/,inline,Service Calls & Troubleshooting in Oceanside — city service link
/services/service-calls-troubleshooting/,/services/electrical-panel-upgrades/,related,Related service: Electrical Panel Upgrades
/services/service-calls-troubleshooting/,/services/outlet-switch-dimmer-gfci-repairs/,related,Related service: Outlet Switch Dimmer & GFCI Repairs
/services/service-calls-troubleshooting/,/free-estimates/,cta,CTA: Get a Free Estimate
/services/recessed-lighting-installation/,/,breadcrumb,Breadcrumb: Home
/services/recessed-lighting-installation/,/services/,breadcrumb,Breadcrumb: Services
/services/recessed-lighting-installation/,/carlsbad/recessed-lighting-installation/,inline,Recessed Lighting Installation in Carlsbad — city service link
/services/recessed-lighting-installation/,/encinitas/recessed-lighting-installation/,inline,Recessed Lighting Installation in Encinitas — city service link
/services/recessed-lighting-installation/,/rancho-santa-fe/recessed-lighting-installation/,inline,Recessed Lighting Installation in Rancho Santa Fe — city service link
/services/recessed-lighting-installation/,/san-marcos/recessed-lighting-installation/,inline,Recessed Lighting Installation in San Marcos — city service link
/services/recessed-lighting-installation/,/del-mar/recessed-lighting-installation/,inline,Recessed Lighting Installation in Del Mar — city service link
/services/recessed-lighting-installation/,/solana-beach/recessed-lighting-installation/,inline,Recessed Lighting Installation in Solana Beach — city service link
/services/recessed-lighting-installation/,/oceanside/recessed-lighting-installation/,inline,Recessed Lighting Installation in Oceanside — city service link
/services/recessed-lighting-installation/,/services/light-fixture-installation/,related,Related service: Light Fixture Installation
/services/recessed-lighting-installation/,/services/ceiling-fan-installation/,related,Related service: Ceiling Fan Installation
/services/recessed-lighting-installation/,/free-estimates/,cta,CTA: Get a Free Estimate
/services/light-fixture-installation/,/,breadcrumb,Breadcrumb: Home
/services/light-fixture-installation/,/services/,breadcrumb,Breadcrumb: Services
/services/light-fixture-installation/,/carlsbad/light-fixture-installation/,inline,Light Fixture Installation in Carlsbad — city service link
